Alternative,Price,Duration,Facilities,Destination,Rating,Score
B - Holiday in Singapore,5800000,4,4,4.5,4.6,1.0
A - Bangkok–Pattaya,10300000,5,4,4.0,4.0,0.4759615384615385
D - Explore Korea Alpaca,18800000,8,4,4.3,4.4,0.4533333333333335
C - Taiwan Hsinchu Tour,18000000,7,4,4.2,4.3,0.4328846153846154
E - Paket Tour China 2025,15500000,7,4,4.1,4.2,0.40762820512820513
